objectid,file_name,title,writer_name,gender,location,longitude,latitude,publisher,publication_date,year,month,day,page_number,related,tone/emotion,subject
df_051,df_1968-02-21.pdf,Let us all turn Catholic,A. J. Long-John,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_21,1968,February,21,2,,,anti-British; national identity
df_052,df_1968-02-22.pdf,Whither Britain?,George N. J. Waka,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_22,1968,February,22,2,,,cold war; Anglo-Soviet relations
df_053,df_1968-02-22.pdf,Gnashing of teeth for Saboteurs,Ignatius Obi Okoye,Male,Aba,7.373265,5.121588,Daily Flash,1968_02_22,1968,February,22,2,,,saboteurs; nigererian propaganda;
df_054,df_1968-02-23.pdf,Best Speech of the Year,E. I. Akalemeaku,Undecided,Aba,7.373265,5.121588,Daily Flash,1968_02_23,1968,February,23,2,,,national identity; anti-Nigeria; patriotism
df_055,df_1968-02-23.pdf,People's Paper,J. O. Ibezim,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_23,1968,February,23,2,,,people's paper
df_056,df_1968-02-27.pdf,No Longer worth a Penny,E. C. N. Amaku,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_27,1968,February,27,,,,BBC; anti-British
df_057,df_1968-02-27.pdf,Give them a Lift,L. N. Onyegbule,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_27,1968,February,,,,,sacrifice; patriotism; military service
df_058,df_1968-02-27.pdf,To Okija Aborigines,,,,,,Daily Flash,1968_02_27,1968,February,,,,,
df_059,df_1968-02-28.pdf,Newstalk of the Month,Chukunyere J. Nwadike,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_28,1968,February,28,,,,"Concerns, BR, Women, Nzimiro"
df_060,df_1968-02-28.pdf,Radio Togo-Another Enemy,F. Obuna,,Aba,7.373265,5.121588,Daily Flash,1968_02_28,1968,February,,,,,
df_061,df_1968-02-29.pdf,National Honours-Food for thought,D.N.C Nwaozor,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_29,1968,February,29,,,,"Women, Concerns, BR, Nzimiro"
df_062,df_1968-02-29.pdf,Appeal to Profiteers,I. M. Weligwere,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_29,1968,February,,,,,
df_063,df_1968-02-29.pdf,Incongrous Night Outings,Julius Okonkwo,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_02_29,1968,February,,,,,
df_064,df_1968-03-01.pdf,Wanted for Murder,A. R. N. Ugwuegbu,,Oguta,6.80944,5.71167,Daily Flash,1968_03_01,1968,March,1,,,,"BR, Concerns, Nat ID"
df_065,df_1968-03-01.pdf,Warning to all Vehicle Users,C. A. Uzoije,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_01,1968,March,,,,,
df_066,df_1968-03-05.pdf,They hate us but love our Wealth,Iheke Abel,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_05,1968,March,5,,,,Policies
df_067,df_1968-03-06.pdf,Public Execution of Saboteurs,C. I. Okereke,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_06,1968,March,6,,,,"Concerns, BR"
df_068,df_1968-03-06.pdf,No Favours Please,J. B. Uffort,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_03_06,1968,March,,,,,
